likesCount,profileName,text
0,Tembikai Longan,Betul tu. suara dr tenggelam timbul jdnya...
3,Azrul Bdg,"harap attachedkan kami di TM.. leh belajar dgn TM Teknologi baru..  dan combinekan TM dibawah Kementerian Digital.. so manpower bertambah, skop kerja terus di sumbang hingga ke daerah-daerah."
0,Wan Nor Hazliza,terlalu byk vendor..
3,Wan Nor Hazliza,pos kosong lama yg xberisi tahun makan tahun. ada yg dujumud. tp keje makin bertambah.. kita support nk pendigitalan. tp resource xcukup Dr...
0,Zulkifly Ismail,betul setuju
3,Nzm Meor,govtech. helicopter view kena pandai translate kpd daily execution. kalau tidak terawang-awang sahaja. business as usual.
0,Ina Maszlina,banyak kekosonganh harap ada peluang untuk pindah
12,Persatuan Juru Analisa Sistem Sektor Awam,"Untuk makluman semua, slide akan dikongsikan selepas sesi tamat"
0,Mie Noor,cargas
0,Hyrole Soaswt,Agile
0,Nor Khatijah Suleiman,Rindu kat PESIMA
0,CikSmile Diana Bakri,bergerak pantas dgn akal yg bijak.
0,Anisya Ismail,pintar
4,Mohamad Firdaus,pc kena tukar setiap 3 - 5 tahun supaya tak outdated.
0,Armiza Arsad,mereka ada buat survey diperingkat hospital tp until now takde update..
0,Nurnajihan Nasoha,Hbs dh ke?
0,Mohammed Mh,Ni bilangan perjawatan dekat federal sahaja atau termasuk agensi?
1,Saiidi Ameir,Tidak semudah ABC..
0,Hitomi Hagiwara,Armiza Arsad kene pandai tackel mof
0,Man Harun,Hmmm
1,Hitomi Hagiwara,Armiza Arsad tu keje pengurusan tertinggi kementerian dgn mof utk buat proposal
0,Zulkifly Ismail,"sewaan byk jimatkan masa,wang.selenggara kalau umor alat 3 tahun kebwh....masih relevan nak pakai...."
1,Adi Netio,118 kosong - Harap dpt bertukar (nak balik Penang)
0,Bola Bolabulat,pay per use- vendor jer la
1,Armiza Arsad,sewaan lagi bagus dgn kekangan staff yg kami ada..tp tu la..tak approved plak
0,Zulkifly Ismail,sekurang2nya takde la aset ICT purbakala kat jabatan....
0,Armiza Arsad,"telah diusulkan tuan, tapi permohonan kami direject"
0,Nzm Meor,sokong YBrs Dr. kita kena pandai promosi juga kemahiran profesional. bina branding sendiri.
1,Hitomi Hagiwara,Armiza Arsad ptut kesihatan dh kene buat tender sewaan pc
0,Are Peace,dah ada buat 5 tahun sekali sewaan pdp dan pdt lepastu vendor  ambil balik dah jadi tukun dah kot masa tu.
0,Jalak Lenteng,TATAKELOLA jugak
1,Adi Badiozaman Ruhani,"Tapi, no money no talk..😅😅😅"
1,Nzm Meor,"perjasa boleh jadi whistleblower, tapi tanggungjawab perjawatan jatuh kpd KD.."
1,Persatuan Juru Analisa Sistem Sektor Awam,Terima kasih di atas pandangan puan. Inisiatif kolaborasi bersama industri termasuk institut pengajian sememangnya telah di ambil kira di dalam strategik transformasi pendigitalan negara yang diterajui oleh JDN.
0,Zulkifly Ismail,"perkakasan lebih baik buat secara sewaan,3 tahun sekali tukar...baru ikot yang latest"
1,Sheila Mahalingam,setuju .. baru releven dengan apa yang kita dah belajar and well verse . boleh lebih fokus ..
1,Rosnita Abdul Kahar,Persoalannya bagaimana JDN mengawal harga perkidmatan dan pembekalan ICT di kalangan supplier. Pada masa ini harga cepat sangat melonjak naik.. dalam perancangan (quotation) harga lain.. bila nak execute (tender) harga lain.
3,Armiza Arsad,"ape yang boleh disimpulkan, kami di hospital ni mmg sentiasa dalam surviving mode, kebanyakan komputer kami repair secara DIY mennggunakan bajet alat ganti..tp itupun tidak bertahan lama...lama2 peralatan tu dh jadi Beyond Repair (BER)"
1,Adi Badiozaman Ruhani,scrshot cepat2
4,Sheila Mahalingam,we need leaders who encourages the upskilling and reskilling of F skim. Need to change mindset that more learning and engage with industry and project will provide better IT professional. Bottom up need to be implemented .
0,Law Boon Kiat,"setiap agensi mohon bajet IT. boleh jimatkan kalau ada 1 infra cover semua data centre, security etc. agensi just gunapakai. mcm email skrg"
5,Mohd Tar Bin Adik,Geram dengan slide.. baru nak tumpu baca word by word.. dah ubah view hehehe
0,Adi Netio,JDN dgn kerjasama PERJASA & MBOT boleh sponsor untuk pengiktirafan Ts. / Tc. kepada pegawai2 skim F
2,Armiza Arsad,kami pegawai IT di hospital sentiasa bersedia berkhidmat dan cuba memberikan perkhidmatan yang terbaik untuk org awam tetapi perlu la selaras dengan fasiliti yang disediakan dan manpower yang mencukupi..
0,Nor Khatijah Suleiman,Pegawai baru....kontrak...takde Pencen
3,Daisy Fleur Rfu,PERJASA pertimbangan cadangan untuk mewujudkan PTM Assessment Centre (PAC) bagi skim F untuk persediaan bagi pegawai2 baru berdasarkan kepakaran ikhtisas masing-masing sebelum ditempatkan di mana2 agensi...
1,Armiza Arsad,alhamdulillah..perkara ini pun telah dibawa semasa pembentangan kertas putih KKM oleh mantan YBMK yang lepas..semoga mendapat pertimbangan sewajarnya
1,Nor Khatijah Suleiman,23 ...kite dapat bonus
1,Joe ,"Kenapa cstu memperjuangkan ft, pptm memperjuangkan FA dan perjasa memperjuangkan F. Takde kesatuan untuk kesemua skim F ni ke. Tanya je."
0,Adi Netio,Slide boleh download kat mana.. bleh share?
2,Persatuan Juru Analisa Sistem Sektor Awam,Armiza Arsad telah diambil kira dalam kajian Sistem Saraan Perkhidmaan Awam (SSPA)
0,Tengku Mohd Faiz,mantap hehe! ^_^
1,Adi Badiozaman Ruhani,scrshot cepat2
0,Zulkifly Ismail,betul setuju
0,Are Peace,dah ada buat 5 tahun sekali sewaan pdp dan pdt lepastu vendor  ambil balik dah jadi tukun dah kot masa tu.
1,Adi Badiozaman Ruhani,"Tapi, no money no talk..😅😅😅"
2,Daisy Fleur Rfu,Program Pengukuhan Sahsiah Diri dan pemantapan jati diri Pegawai Skim F boleh diajar dan diasah sebelum dilepaskan di medan perjuangan..mohon share..
2,Jaydinz Juppri,Persatuan Juru Analisa Sistem Sektor Awam Kuasa akhir ditangan ketua jabatan.... perubahan masih boleh berlaku. Mungkin dh boleh buat kajian yang penempatan tak sama dgn bidang kepakaran. Tapi Pelan Kemajuan Kerjaya antara inesiatif terbaik buat masa Ini. Cuma mungkin perlu pemantauan Sama Ada Berjaya atau tidak. Hanya pandangan.
1,Law Boon Kiat,belajar kat youtube tapi nak implement dlm agensi byk plak garis panduan kene ikut
0,Sabrina Abdul Rahim,"Agar Skim F lebih cemerlang di masa hadapan, saya ambil peluang untuk mengalu-alukan sahabat2 skim F/FA/FT untuk meningkatkan kemahiran pengucapan awam & komunikasi (softskills) seperti di bawah:

📣🎙 BENGKEL PENGUCAPAN AWAM ANJURAN KELAB TOASTMASTERS DWIBAHASA PIDATO MUTIARA 🎙📣

Adakah anda ingin meningkatkan kemahiran pengucapan awam anda? Mencari tempat untuk belajar, berkongsi, dan membesar? Jom sertai kami di Bengkel Pengucapan Awam anjuran Kelab Toastmasters Dwibahasa Pidato Mutiara!

👥 Siapa yang sesuai?
Semua orang! Sama ada anda seorang pelajar, profesional, usahawan, atau sesiapa sahaja yang ingin meningkatkan keyakinan dan kemahiran berucap di khalayak ramai, Bengkel Pengucapan Awam ini adalah untuk anda!

📅 Tarikh: 13 Feb 2024
🕒 Masa: 8 malam – 10 malam
📍 *Platform: Google Meet , Video call link: https://meet.google.com/kau-road-mjm 

Kenapa anda perlu sertai kami?

🎯 Belajar teknik pengucapan awam yang berkesan
🎯 Meningkatkan keyakinan diri
🎯 Memperbaiki kemahiran komunikasi
🎯 Berpeluang untuk berlatih dan menerima maklum balas
🎯 Menghubungkan dan berinteraksi dengan komuniti yang menyokong

Ts. Sabrina
0194750786"
0,Nzm Meor,tanya chatgpt je 😹
0,Sharul Zain,Persatuan Juru Analisa Sistem Sektor Awam how?
4,Amy Krisya,"Mohon pihak JDN bekerjasama dgn fakulti ICT dari Universiti Tempatan untuk menerokai tools2 tertentu, seperti emel, UC, tools survey etc"
0,Hitomi Hagiwara,Nak tanya. So skim F yg ada di agensi2 luar dari JDN duduk bwh JDN ke mcm JKR tu?
7,Enoar Nor,ada kawan2 dah 14 tahun 44... bila nak naik 48? sapa nak tengok ni?
0,Bola Bolabulat,x sentuh lagi yea kenaikaan pangkat f
2,Shaharina Ahmad,"Cabaran perubahan hala tuju kementerian/jabatan pun beri kesan pada projek ICT..penat-penat bid budget ICT dengan EPU, dah lulus..duit turun ke kementerian kene sailang dengan orang lain~"
4,Persatuan Juru Analisa Sistem Sektor Awam,telah diambil kira di dalam pembangunan Pelan Kemajuan Kerjaya Skim F
13,Daisy Fleur Rfu,Mungkin tiba masanya PERJASA pertimbangan cadangan untuk mewujudkan PTM Assessment Centre (PAC) bagi skim F untuk persediaan bagi pegawai2 baru berdasarkan kepakaran ikhtisas masing-masing sebelum ditempatkan di mana2 agensi...
0,Milah Adnan,Hadir
2,Nurnajihan Nasoha,Sambil keyboard buat benda lain..smbil dgr sambil kursus hha
3,Rosnita Abdul Kahar,kat FB tak ngantuk!!
0,Hasri Hassan,Hadir
2,Mohd Shafiq Izwan Abdullah,Takziah tuan. Tempat saya ambil student intern diploma jugak. Alhamdulillah sangat membantu
0,Amir SkoOl,"Susah kawan sebab yang control skim apa, diorang pon PnP (8-8-6-5) atas dasar je lah tapi hakikat laju depa naik ye"
4,Tengku Mohd Faiz,sentiasa di pergunakan utk fotostat
1,Hitomi Hagiwara,ZytronicGenius Hard-Zick setuju
0,Adi Badiozaman Ruhani,ada betulnya
0,Sharul Zain,Saya nak dgr skim f.. mls nk dgr madani..
0,AinaIffat AdamIsyraf,Amir SkoOl stju bro
9,ZytronicGenius Hard-Zick,Formula bgi naik pangkat secara time-based utk skim F perlu dipendekkan lagi kpd pelaksana (8-8-6) & PnP (6-6-5-3) bagi melancarkan sistem penggajian baharu yg adil & saksama...GO mrs. president JDN !!
4,Amir SkoOl,"betul, kene buat macam KKM ada skimspecific mengikut kepakaran dan background masing2"
2,Tengku Mohd Faiz,F sering di salahgunakan.. mcm mana nk upgrade skill?
1,Sheila Mahalingam,Linda Afiq morning linda .. mana ada bos.. kita geng ict
0,Fizrul Shawal,setuju
0,Rosnita Abdul Kahar,🙋‍♀️ (angkat tangan)
0,Pae Jan,💁🏼‍♂️
7,Sultan AzHar III,"letak seseorg F pada tempatnya, barulah F padu, seseorng F ada skill msg2"
1,Hi Azahar Aries,azhararis listening....
1,Faizal Rahmat,Sentiasa terpinggir
0,Pae Jan,Salam Mesra dari BPM MOTAC
1,Fizrul Shawal,data sgt berharga...cybersecurity pon sgt penting
2,Nzm Meor,F terpinggir bukan sebab tiada kepakaran teknikal. tapi sebab soft skills.
4,Amir SkoOl,"Tempat saya ambik budak intern diploma sampai 2 org tauk bawah saya untuk mempercepatkan development sistem tetapi, hakikatnye melambatkan sebab skrang aku pulak nak kene jadi lecturer ajar budak2 ni coding. Mindset M lebih ramai lebih cepat, bila cakap tak dengar. saja nak luah perasaan"
0,Zulkifly Ismail,"naiktaraf peralatan ICT, pc lebih 15 tahun pn ada,"
1,Fa Idenzo,Ahli 1.2k yg menonton elok la buat channel telegram
2,Adi Badiozaman Ruhani,data membantu dalam decision making.
2,Wawa Hassan,Kat mana pulak keselamatan data
1,Rohaya Ahmad,setuju .. data sangat berharga
1,Armiza Arsad,ape2 jadi di hospital..rakyat akan simply viralkan
0,Rohaya Ahmad,local product
1,Zach Zakri,Ada town hall mcm ni baru tau banyak rupanya yg skim F ni nak luahkan..
0,Amy Krisya,"Dah ada platform tu, implement kat kerajaan"
6,Armiza Arsad,en adi..betul..tengok semua..tp yg obvious adalah hospital..kami ni diperingkat bawahan..bajet pun tak sampai kt kami..tp kerajaan sibuk promosi pendigitalan perkhidmatan kerajaan tp di peringkat 'root ' ni masih gunakan pc usang melebihi 10 tahun..
2,Persatuan Juru Analisa Sistem Sektor Awam,"JDN menerajui pembangunan dan reka bentuk perkhidmatan atau produk digital yang bersepadu (SuperApps Kerajaan) dalam memastikan akses tunggal perkhidmatan digital kerajaan melalui program Identiti Digital Nasional menggunakan MyDigital Identity (MyDID), aplikasi bersepadu dan pelaksanaan perkongsian data dengan pemanfaatan Pangkalan Data Utama (PADU)."
1,HN Muhammad,"PERMOHONAN PERTUKARAN...PENEMPATAN KAKITANGAN KUP...TAMBAH WARAN PENJAWATAN DI SEMUA NEGERI SELAIN WPKL...

TOLONG TENGOK PERKARA INI..."
0,Acik Effa,Level 41-44 dijadikan platform menimba ilmu dan mengasah kemahiran dalam pengurusan ICT dan non-ICT. Secara tidak langsung memupuk minat dalam bidang2 IT yang berbeza. Tak boleh nak 'ambil tahu' semata-mata ...
1,Jaydinz Juppri,"Setuju sangat pasal PAC tu sebab kesian pegawai baru terus di arah jaga Projek dgn nilaian besar.... kebarangkalian projek gagal tinggi..... PAC juga bukan untuk lantikan baharu tetapi juga untuk org lama.... masih banyak bidang ICT bawah JDN yang tidak dikuasai dengan baik. Ilmu kewangan, penyediaan kontrak tu sangat penting bukan teknikal sahaja...."
3,Daisy Fleur Rfu,Say Hi to Dr Faz from us di MAMPU Sabah
2,Daisy Fleur Rfu,Program Pengukuhan Sahsiah Diri dan pemantapan jati diri Pegawai Skim F boleh diajar dan diasah sebelum dilepaskan di medan perjuangan..mohon share..
13,Daisy Fleur Rfu,Mungkin tiba masanya PERJASA pertimbangan cadangan untuk mewujudkan PTM Assessment Centre (PAC) bagi skim F untuk persediaan bagi pegawai2 baru berdasarkan kepakaran ikhtisas masing-masing sebelum ditempatkan di mana2 agensi...
4,Tengku Mohd Faiz,sentiasa di pergunakan utk fotostat
0,Adi Badiozaman Ruhani,ada betulnya
1,Faizal Rahmat,Sentiasa terpinggir
2,Mohd Shafiq Izwan Abdullah,Takziah tuan. Tempat saya ambil student intern diploma jugak. Alhamdulillah sangat membantu
2,Nurnajihan Nasoha,Sambil keyboard buat benda lain..smbil dgr sambil kursus hha
4,Amir SkoOl,"betul, kene buat macam KKM ada skimspecific mengikut kepakaran dan background masing2"
2,Tengku Mohd Faiz,F sering di salahgunakan.. mcm mana nk upgrade skill?
0,Fizrul Shawal,setuju
2,Adi Badiozaman Ruhani,data membantu dalam decision making.
0,Amy Krisya,"Aku nak cadang lahh.. misalnya, kenapa tak universiti bina platform emel atau UC baharu, guna opensource. Nak kerjasama antara U pun boleh."
0,Shaharina Ahmad,Ada keperluan tak untuk kajian punca turn-over tinggi mengikut kementerian/jabatan & bersara awal untuk pegawai F? Ke ni under JPA jurisdiction?
0,Fizrul Shawal,benda ni ikot individu..sbb ade user dlu kat tmpt lama..mmg nak pencen dah..tp Alhamdulilah die nak belajar dan selalu nya on-phone shj kalau pc dia ada mslh.
1,Rohaya Ahmad,ekosistem it peringkat tempatan perlu selari dengan peribgkat  global
0,Zetty Romli,"Maaf bertanya, bagaimanakah proses permohonan pertukaran pegawai Skim F selepas ini? Adakah fungsi tersebut kini dilaksanakan sepenuhnya di bawah JDN?"
0,Adi Badiozaman Ruhani,kena ada skill change mgmt
0,Nurnajihan Nasoha,Setuju
0,Nurnajihan Nasoha,Setuju!
2,Adi Badiozaman Ruhani,Lihat semua..bukan di hospital sahaja.
2,Rohaya Ahmad,kajian2 perkembangan IT di universiti jangan dipinggirkan bagi melonjakkan service deluvery
0,Zach Zakri,Kadang sian juga kat staff mystep ni..😅
0,Nurmila Ramlee,Mne2 jab F solo.
0,Violet Aaz,😊
0,Armiza Arsad,faham..tu pun di PKD ada yg amik mystep
2,Zach Zakri,End user pun harus diberikan technology update..susah juga nak ajar benda baru pada staff yg hampir berpencen ni😅
0,Bola Bolabulat,ade sentuh kenaikan pangkat dak seiring perkembanagn it nih
1,Faizal Rahmat,Pkd seorang shj f kan? Kesian
1,Nzm Meor,ini dalam JD hebat skopnya. alih-alih buat kerja pentadbiran rencam. macam mana nk fokus?
0,Joe ,Jumudkan ft19 🥹
1,Sultan AzHar III,kita kena ada wamwamsam
13,Armiza Arsad,"Puan..mohon lihat semula job scope pegawai2 IT di hospital..terlalu rencam, resources tidak mencukupi smpai kami burn out"
1,Abu Ammar Alattas,tu wonderpets
1,Faizal Rahmat,kenapa skim J terus hakiki sedangkan skim F (kup.) Kawam saya suruh tanye
2,Nzm Meor,"kalau nak perkasakan in-house development, kena buat end-to-end, dari pengambilan oleh SPA sehinggalah penempatan. kena strategize."
1,Amy Krisya,Kita ada banyak universiti yg ada Fakulti ICT. Kenapa tak bekerjasama dgn dia org untuk bidang2 R&D termasuk AI dan bina projek2 kerajaan
2,Rohaya Ahmad,memperkasakan technologies (ts) dan pakar2 IT tempatan
1,Hawa Azman,Rosnita Abdul Kahar haha saya baru nak komen macam ni.
0,Mrawam,seolah-olah JDN tidak terlibat.
0,Adi Badiozaman Ruhani,Part ni paling susah...
0,Zach Zakri,Kadang2 kita kene bg juga income pada usahawan IT dlm negara kita ni..
3,Rosnita Abdul Kahar,Tu bukan mindset skim F tu... skim lain agaknya
1,Enoar Nor,"kenaikan tangga gaji skim F kena selari mcm skim2 lain. ie PTD, cikgu, doktor,..."
2,Amy Krisya,"Kena buang mindset, ""apa nak risau pasal pembangunan, penyenggaraan, vendor kan ada"""
0,Mohd Azmi Abdullah,Madani
1,Rosnita Abdul Kahar,bagus gak ada ranking Govtech leaders tu.. baru buka mata ...
4,Amy Krisya,"Kalau pun kita gunakan vendor, kena ada strategi mengambil alih kerja vendor. Dan gunakan pembangunan bersama vendor untuk meningkatkan skill."
0,Zach Zakri,Boleh je..perbanyakan training utk staff..jangan kedekut..
3,Persatuan Juru Analisa Sistem Sektor Awam,telah diambil kira dalam kajian Sistem Saraan Perkhidmaan Awam (SSPA)
0,Siti Rosela Mohamed,terbaiklah Mohd Naim
1,Zaiton Ahmad,YB pun masuk dengar juga ye
0,Lajie Megat,wahhh .. naim... knp ranking kita turun ? sbb kita takdak jabatan digital negara ..😄
0,Ziela Jusoh,"Naim...awk kena masuk JDN, tak yah duk ILKAP..hehe"
0,Fizrul Shawal,sokong!!!!
0,A Muiz Abadan,Kemain 🤣🤣
0,Mohd Alfairuz,hebat jiran jawab tadi
0,Azlan Bin Zamanhuri,Staedy naim
0,Rezal MJ,Mantap
0,Abu Bunyameen,Mantab Ts Mohd Naim
1,ICT PPD Kuching,setuju
0,Nzm Meor,terbaik Mohd Naim
0,Amir SkoOl,"Susah kawan sebab yang control skim apa, diorang pon PnP (8-8-6-5) atas dasar je lah tapi hakikat laju depa naik ye"
1,Hitomi Hagiwara,ZytronicGenius Hard-Zick setuju
1,Persatuan Juru Analisa Sistem Sektor Awam,Terima kasih di atas pandangan puan. Inisiatif kolaborasi bersama industri termasuk institut pengajian sememangnya telah di ambil kira di dalam strategik transformasi pendigitalan negara yang diterajui oleh JDN.
2,Daisy Fleur Rfu,Program Pengukuhan Sahsiah Diri dan pemantapan jati diri Pegawai Skim F boleh diajar dan diasah sebelum dilepaskan di medan perjuangan..
1,Sheila Mahalingam,setuju .. baru releven dengan apa yang kita dah belajar and well verse . boleh lebih fokus ..
0,Zach Zakri,Kadang sian juga kat staff mystep ni..😅
0,Sharul Zain,Persatuan Juru Analisa Sistem Sektor Awam how?
4,Persatuan Juru Analisa Sistem Sektor Awam,telah diambil kira di dalam pembangunan Pelan Kemajuan Kerjaya Skim F
0,Fizrul Shawal,benda ni ikot individu..sbb ade user dlu kat tmpt lama..mmg nak pencen dah..tp Alhamdulilah die nak belajar dan selalu nya on-phone shj kalau pc dia ada mslh.
0,Adi Badiozaman Ruhani,kena ada skill change mgmt
1,Hawa Azman,Rosnita Abdul Kahar haha saya baru nak komen macam ni.
0,Adi Badiozaman Ruhani,Part ni paling susah...
0,Zach Zakri,Kadang2 kita kene bg juga income pada usahawan IT dlm negara kita ni..
3,Rosnita Abdul Kahar,Tu bukan mindset skim F tu... skim lain agaknya
0,Nurnajihan Nasoha,Setuju!
0,Armiza Arsad,mereka ada buat survey diperingkat hospital tp until now takde update..
0,Hitomi Hagiwara,Armiza Arsad kene pandai tackel mof
1,Hitomi Hagiwara,Armiza Arsad tu keje pengurusan tertinggi kementerian dgn mof utk buat proposal
1,Armiza Arsad,sewaan lagi bagus dgn kekangan staff yg kami ada..tp tu la..tak approved plak
0,Armiza Arsad,"telah diusulkan tuan, tapi permohonan kami direject"
